SMILES,IC50
CC1(CCCC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4CO)C,2.578150177-7.41218176
CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,2 to 3
CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCC(C4(C)O)O,1.280819725-3.202049312
CC1(CC2=C(C3=CC=CC=C3C(=O)C2=O)OC1)C,1.2 to 5.5
CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCC(C4(C)O)O,0.960614793-2.88184438
CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C,0.811984897-1.217977346
CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(CO)O,0.640409862-2.561639449
CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)OC)C)C)C)C)O,0.42 to 0.61 
CC1=C(C2=C(C3=C1OC4=C(C3C(C)C)C(=O)C(C(=C4C)OC)(C)C)OC(CC2=O)C5=CC=CC=C5)O,0.409332788-1.023331969
CC1CCC23C(C1(C)CC=C(C)C=C)CC(C=C2C(OC3OC(=O)C)OC(=O)C)OC(=O)C4=CC=C(C=C4)O,0.29 to 9.7 
CC1CCC23C(C1(C)CC=C(C)C=C)CC(C=C2C(OC3OC(=O)C)OC(=O)C)OC(=O)C4=CC(=C(C=C4)O)OC,0.29 to 9.7 
CC1CC(C23C(C1(C)CC=C(C)C=C)CC(C=C2C(OC3OC(=O)C)OC(=O)C)O)OC(=O)C4=CC=C(C=C4)O,0.29 to 9.7 
CC1CC(C23C(C1(C)CC=C(C)C=C)CC(C=C2C(OC3OC(=O)C)OC(=O)C)OC(=O)C4=CC=C(C=C4)O)O,0.29 to 9.7 
CC1CC(C23C(C1(C)CC=C(C)C=C)CC(C=C2C(OC3OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C4=CC=C(C=C4)O,0.29 to 9.7 
COC1=CC(=CC(=C1OC)OC)C2C3C(CC4=CC5=C(C=C24)OCO5)COC3=O,0.0062751-0.010040161
CC12CCCC3(C1C(OC2)OC)COC(=O)C45C3CCC(C4)C(=C)C5=O,9.988901221
CC(=CCC1=C(C=C2C(=C1)C3C(CO2)(C4=C(O3)C(=C(C=C4)OC)CC=C(C)C)O)O)C,9.940828402
C1C=CC(=O)OC1C(C(C2=CC=CC=C2)Cl)O,9.933119633
CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)OC)C)C)C)C)O,9.900990099
COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC)OC,9.9
COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)OC,9.9
CCC12CC(=C3C4(C1N(CC4)CC=C2)C5=CC=CC=C5N3)C(=O)OC,9.9
CC(=O)OCC12CCCC(C1CC(C34C2C(CC(C3O)C(=C)C4=O)O)O)(C)C,9.9
CC1=CC2C(CCC(C=CCC3=CC(C1)OC3=O)(C)O)C(=C)C(=O)O2,9.9
COC1=CC(=O)C2=C(C1=O)C=CC3=CC(=CC(=C32)C4=C(C=C(C5=C4C=CC6=C5C=CC(=C6OC)O)O)OC)O,9.9
CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,9.9
C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)C4C(OC5=CC(=CC(=C5C4=O)O)O)C6=CC=C(C=C6)O)O,9.88
CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)CO)O,9.87
CC1C2CCC3C2(CCC4C3CCC5C4(CCC(C5)N)C)C=N1,9.856915739
CCCCCCC=CCCCCCCCCCC1=C(C=CC(=C1)O)O,9.812409812
COC1=C(C2=CN3CCC4=CC5=C(C=C4[C]3C=C2C=C1)OCO5)OC,9.809750297
COC1=CC(=C2CC(C(OC2=C1)C3=CC4=C(C=C3)OCO4)O)OC,9.8
COC1=CC(=CC(=C1OC)OC)C2C3COC(C3CO2)C4=CC5=C(C=C4)OCO5,9.8
CCOC12CC3C(CC=C4C3(C(=O)CC=C4)C)C5C1C(C(C5)OC=O)C(O2)(C)C6CC(C(C(=O)O6)C)C,9.8
CCOC12CC3C(CC=C4C3(C(=O)C=CC4)C)C5C1C(C(C5)OC=O)C(O2)(C)C6CC(C(C(=O)O6)C)C,9.8
CC1=CC2C(CCC(=C)C(=O)CCC3=CC(C1)OC3=O)C(=C)C(=O)O2,9.8
CC(=O)OCC12CCCC(C1CC(C34C2C(CC(C3O)C(=C)C4=O)O)O)(C)C,9.8
CC(C)C1CC(C2C1(CCC3(C2(CC=C4C3=CCC5C4(CCC(C5(C)C)O)C)C)C)C)O,9.8
CC(=CCC1=C(C=C2C(=C1O)C(=O)C3=C4CCC(OC4=C(C=C3O2)O)(C)C)O)C,9.788092836
CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C4=C(C(=C3)O)OC(CC4)(C)C)O)C,9.788092836
C1=CC=C(C=C1)C=CC=O,9.76
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O,9.749303621
CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,9.727626459
CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)N(CCC6=CC(=C5OC)OC)C)OC,9.72
CC(=CCC1=C(C(=C(C=C1OC)OC)C(=O)C=CC2=CC=C(C=C2)O)O)C,9.71
CC(=CCC1=C(C=C2C(=C1)C3C(CO2)(C4=C(O3)C(=C(C=C4)OC)CC=C(C)C)O)O)C,9.704142012
COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,9.7
CC1C2C(CC3C2(CCC4C3CC=C5C4(C(CC(C5)O)OC6C(C(C(CO6)O)O)OC7C(C(C(C(O7)C)OC(=O)C)OC(=O)C)OC(=O)C)C)C)OC18C(C(C(=C)CO8)O)O,9.7
CC1C2C(CC3C2(C(=O)CC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)C)OC7C(C(C(C(O7)CO)O)O)O)O)O)C)C)OC18C(CC(CO8)CO)O,9.689166342
C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,9.678426475
CC1(C(=O)C(=C2C=CC3=CC=CC=C3O2)C(=O)C(C1=O)(C)C)C,9.668063165
CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)COC7C(C(C(C(O7)CO)O)O)O,9.657025446
CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,9.641342075
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,9.621077561
