SMILES,IC50
C1CNC2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5,16.4
C1CNC2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5,20.8
C1CNC2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5,28.9
C1=CC(=CC=C1C=CC2=CC(=CC3=C2C(C(O3)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O)O,31
C1=CC(=CC=C1C=CC2=CC(=CC3=C2C(C(O3)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O)O,42
C1=CC(=CC=C1C=CC2=CC(=CC3=C2C(C(O3)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O)O,84
C1=CC(=CC=C1C=CC2=CC(=CC3=C2C(C(O3)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O)O,110
CC(=CCC(CC1=C(C=C(C2=C1OC(CC2=O)C3=C(C=C(C=C3)O)O)OC)O)C(=C)C)C,18.5
CC(=C)C1CCC(=CC1)CO,50
CC(=C)C1CCC(=CC1)CO,100
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,17.42666279
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,19.75021783
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,23.81643915
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,35.14376997
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,45.89021202
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,51.69909962
CC1(CCC2C(=C1)C(=O)CC3C2(CCCC3(C)C(=O)O)C)C=C,11.7
CC1(CCC2=C(C1)C(=O)CC3C2(CCCC3(C)C(=O)O)C)C=C,12.6
C1=CC(=CC=C1C2C3C4=CC(=CC5=C4C(C(O5)C6=CC=C(C=C6)O)C7=CC(=CC8=C7C(C(O8)C9=CC=C(C=C9)O)C1=CC(=CC(=C31)O2)O)O)O)O,36
C1=CC(=CC=C1C2C3C4=CC(=CC5=C4C(C(O5)C6=CC=C(C=C6)O)C7=CC(=CC8=C7C(C(O8)C9=CC=C(C=C9)O)C1=CC(=CC(=C31)O2)O)O)O)O,60
C1=CC(=CC=C1C2C3C4=CC(=CC5=C4C(C(O5)C6=CC=C(C=C6)O)C7=CC(=CC8=C7C(C(O8)C9=CC=C(C=C9)O)C1=CC(=CC(=C31)O2)O)O)O)O,349
COC1=C(C=CC(=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,157.0943823
CC1(CCC2C(=CCC3C2(CCCC3(C)C(=O)O)C)C1)C=C,13.2
COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)O)OC)O,27.90178571
CC1C2C(CC3(C2(C(CC45C3=CCC6C4(C5)CCC(C6(C)C)OC7C(C(C(CO7)O)O)O)OC(=O)C)C)C)OC8(C1OC(C8O)(C)C)O,80
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)O)C)C)C)OC1,12.33
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)O)C)C)C)OC1,24.83
CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6=CC(=O)CCC56C)C)C)OC1,18.85
CC1=C(C=C(C2=C1OC(CC2)C3=CC=C(C=C3)O)OC)O,35.5
CC1=C(C=C(C2=C1OC(CC2)C3=CC=C(C=C3)O)OC)O,37
CC1=C(C=C(C2=C1OC(CC2)C3=CC=C(C=C3)O)OC)O,59.1
