SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,class
CC1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(CO)coc2-1,2.042,854.495,16.353,13.232,13.232,10.954,7.924,7.924,7.033,7.033,5.213,5.213,4.016,4.016,11.566,14.696,0,17.585,22.451,30.389,6.263,0,6.066,19.914,4.417,310.121,0.368,-2.2,23,292.205,247526.95,14.396,4.649,1.814,133.673,12.756,0.463,12.756,0.237,0.006,0.237,-0.568,-0.463,3.432,84.692,310.349,1,4,2,0,2,1,1,2,4,1,4,0,1,0,0,0,118,9.524,5.76,0,11.566,0,0,9.589,0,0,0,25.98,35.804,16.69,18.433,4,19.113,11.566,0,0,0,45.132,0,46.213,0,11.324,0,0,0,0,16.673,18.443,0,64.095,22.813,0,11.324,0,67.51,0,0,0,0,0,0,0,0,5.533,50.217,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,2.228,593.511,12.914,10.448,10.448,8.495,6.101,6.101,5.373,5.373,3.526,3.526,2.501,2.501,11.566,9.589,0,5.601,23.317,11.984,0,12.133,25.98,0,4.737,242.094,0.333,-1.9,18,228.162,13978.473,11.205,3.545,1.505,105.451,12.046,0.487,12.046,0.234,0.285,0.234,-0.41,-0.487,2.752,67.098,242.274,0,3,1,1,2,1,0,1,3,0,3,0,0,0,0,0,92,4.737,11.36,0,11.566,0,0,9.589,0,0,0,24.265,26.689,16.7,0,3,14.326,17.326,0,0,0,32.29,0,40.965,0,0,0,0,0,0,17.168,9.531,0,42.611,29.839,0,5.759,0,43.37,0,0,0,0,0,0,0,0,0,43.75,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC(O)C2(C)O,2.052,871.777,16.516,12.843,12.843,10.836,7.58,7.58,6.497,6.497,5.055,5.055,3.724,3.724,23.272,19.802,0,0,51.983,0,13.187,19.056,0,0,4.417,312.1,0.333,-2.24,23,296.193,215438.801,14.358,4.399,1.688,132.102,12.659,0.463,12.659,0.237,0.307,0.237,-1.439,-0.463,2.149,81.441,312.321,2,5,2,0,2,1,1,2,5,2,5,0,0,0,0,0,118,14.63,11.361,0,11.566,0,0,9.589,0,0,0,12.133,43.379,11.127,17.931,4,24.219,11.566,0,0,0,38.394,0,46.213,0,11.324,0,0,0,0,27.884,12.022,6.924,50.751,22.813,0,11.324,0,87.74,0,0,0,0,0,0,0,0,5.511,54.572,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC1(C)COC2=C(C1)C(=O)C(=O)c1ccccc12,2.216,593.511,12.914,10.448,10.448,8.495,6.039,6.039,5.641,5.641,3.433,3.433,2.527,2.527,11.566,9.589,0,5.415,29.923,5.563,0,12.133,25.98,0,4.737,242.094,0.333,-1.9,18,228.162,13990.499,11.205,3.545,1.505,105.451,12.123,0.492,12.123,0.234,0.096,0.234,-0.411,-0.492,2.61,67.05,242.274,0,3,1,1,2,1,0,1,3,0,3,0,0,0,0,0,92,4.737,5.759,0,11.566,0,0,9.589,0,0,0,38.113,6.421,22.115,6.607,3,14.326,17.326,0,0,5.415,20.268,6.607,40.965,0,0,0,0,0,0,18.173,9.531,5.415,36.19,29.839,0,5.759,0,43.37,0,0,0,0,0,0,0,0,0,43.75,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cc1c2cc[nH]cc2c(C)c2c1nc1ccccc21,2.394,932.114,12.983,10.989,10.989,9.271,6.513,6.513,5.074,5.074,4.045,4.045,3.067,3.067,0,0,0,0,0,11.033,32.672,0,12.263,49.294,4.984,246.116,0.118,-2.35,19,232.201,51184.511,10.561,3.575,1.284,110.635,4.815,0.367,4.815,0.075,1.086,0.075,1.086,-0.367,4.486,80.58,246.313,1,2,0,0,0,2,2,4,1,1,2,0,0,0,0,0,92,4.984,0,0,0,0,0,0,4.984,0,0,18.199,42.493,28.552,11.033,4,0,32.578,0,9.968,0,13.847,0,53.852,0,0,0,0,0,0,9.968,0,13.847,11.127,42.726,0,32.578,0,28.68,0,0,0,0,0,0,0,0,0,36.833,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(O)CO,2.045,860.537,16.353,12.68,12.68,10.976,7.648,7.648,6.339,6.339,4.973,4.973,3.8,3.8,23.774,19.802,0,0,58.403,0,6.263,19.056,0,0,4.417,312.1,0.333,-2.24,23,296.193,255163.212,14.358,4.629,1.745,132.102,12.665,0.463,12.665,0.237,0.32,0.237,-1.356,-0.463,2.15,81.463,312.321,2,5,2,0,2,1,1,2,5,2,5,0,1,0,0,0,118,14.63,11.361,0,11.566,0,0,9.589,0,0,0,12.133,42.877,11.127,18.433,4,24.219,11.566,0,0,0,31.787,6.607,46.213,0,11.324,0,0,0,0,28.386,12.022,6.924,50.248,22.813,0,11.324,0,87.74,0,0,0,0,0,0,0,0,5.516,54.234,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)OC)CCC3(C)CCC12C,1.657,1229.173,24.897,21.677,21.677,15.756,12.816,12.816,12.976,12.976,11.417,11.417,8.8,8.8,5.415,15.008,0,39.128,11.137,55.728,12.683,6.066,0,53.35,4.737,464.293,0.633,-2.23,34,424.326,27309611.2,23.509,6.921,2.687,202.961,12.831,0.504,12.831,0.311,0.026,0.311,-0.424,-0.504,5.072,134.697,464.646,2,4,4,0,4,1,0,1,4,2,4,0,2,3,0,3,184,14.95,0,11.499,0,0,5.969,4.795,0,0,0,51.999,90.881,10.634,12.525,5,19.744,18.624,0,0,27.578,84.979,7.11,33.716,0,11.499,10.437,0,11.499,0,23.292,14.946,27.578,85.128,17.715,0,12.655,0,66.76,0,0,0,0,0,0,0,0,0,73.25,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COC1=C(C)C2=C(C(=O)C1(C)C)C(C(C)C)c1c(c(C)c(O)c3c1OC(c1ccccc1)CC3=O)O2,1.789,1359.798,26.102,21.814,21.814,17,12.369,12.369,10.744,10.744,7.733,7.733,5.997,5.997,11.519,14.696,0,41.136,39.717,11.137,0,14.034,64.951,0,14.211,488.22,0.4,-3.54,36,456.324,96051758.77,24.168,8.256,3.231,211.119,13.982,0.507,13.982,0.176,0.016,0.176,-0.874,-0.507,6.323,135.332,488.58,1,6,1,2,3,2,0,2,6,1,6,0,3,0,0,0,188,19.317,40.434,11.566,0,0,0,9.589,0,0,0,44.179,39.176,28.191,18.946,5,28.906,11.566,0,0,11.333,59.985,7.11,75.25,0,17.249,9.474,0,17.249,0,23.783,9.531,18.257,80.11,52.996,0,0,0,82.06,0,0,0,0,0,0,0,0,0,82.917,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C=CC(C)=CCC1(C)C(C)CCC23C(=CC(OC(=O)c4ccc(O)cc4)CC12)C(OC(C)=O)OC3OC(C)=O,1.813,1197.446,28.535,23.269,23.269,18.4,13.417,13.417,11.262,11.262,8.921,8.921,6.614,6.614,42.007,19.49,0,17.082,29.896,18.415,38.113,0,19.076,26.502,18.947,538.257,0.516,-3.39,39,500.333,306429673.1,28.614,11.003,5.393,229.202,13.084,0.508,13.084,0.338,0.051,0.338,-1.062,-0.508,5.618,143.202,538.637,1,8,2,1,3,1,0,1,8,1,8,0,10,1,1,2,210,19.317,11.853,0,12.58,0,17.908,14.326,4.795,0,0,38.152,80.199,19.421,10.978,4,38.438,17.908,0,0,22.666,78.986,0,65.782,0,5.75,0,0,5.75,0,41.698,28.537,22.666,70.66,60.219,0,0,0,108.36,0,0,0,0,0,0,0,0,0,94.833,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C=CC(C)=CCC1(C)C(C)CCC23C(=CC(OC(=O)c4ccc(O)c(OC)c4)CC12)C(OC(C)=O)OC3OC(C)=O,1.812,1279.711,30.112,24.6,24.6,19.348,13.946,13.946,11.602,11.602,9.233,9.233,6.821,6.821,42.007,19.49,0,34.313,24.836,11.994,39.156,6.076,13,26.502,23.684,568.267,0.531,-3.59,41,528.343,763231796.3,30.37,11.721,5.642,240.68,13.296,0.504,13.296,0.338,0.09,0.338,-1.085,-0.504,5.626,149.754,568.663,1,9,2,1,3,1,0,1,9,1,9,0,11,1,1,2,222,24.054,6.104,11.499,12.58,0,17.908,14.326,4.795,0,0,38.152,74.133,19.421,18.088,4,43.174,17.908,0,0,22.666,78.986,7.11,59.716,0,11.499,4.737,0,11.499,0,48.808,28.537,22.666,70.66,54.152,0,0,0,117.59,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
