BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
2.083,1492.639,32.991,28.019,28.019,20.313,15.828,15.828,15.11,15.11,10.769,10.769,7.843,7.843,39.162,15.008,9.589,46.685,19.262,23.988,23.772,0,54.542,26.502,4.737,602.361,0.553,-3.41,44,552.412,1553806879,33.482,11.504,5.283,262.52,15.325,0.504,15.325,0.2,0.013,0.2,-1.486,-0.504,8.589,173.311,602.812,2,6,2,1,3,1,0,1,6,2,6,0,9,1,1,2,238,14.95,22.348,28.849,0,0,0,14.384,0,0,6.579,42.719,122.441,5.563,5.415,4,29.334,17.35,0,0,28.081,106.44,0,70.545,0,11.499,0,0,11.499,0,33.164,14.326,28.081,111.197,64.982,0,0,0,100.9,0,0,0,0,0,0,0,0,0,102.5,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.109,1529.729,33.154,27.596,27.596,20.316,15.616,15.616,14.846,14.846,11.026,11.026,8.618,8.618,56.427,15.008,14.384,42.445,12.842,28.359,12.133,0,67.542,13.158,0,600.345,0.526,-3.54,44,552.412,1566276051,33.355,11.117,4.504,261.568,15.34,0.504,15.34,0.184,0.049,0.184,-2.156,-0.504,7.898,172.248,600.796,2,6,4,0,4,1,0,1,6,2,6,0,11,4,0,4,236,10.213,0,40.047,0,0,0,19.178,0,0,6.579,54.871,109.096,11.481,10.83,5,29.391,23.133,0,0,39.414,87.494,0,71.365,0,11.499,0,0,11.499,0,33.346,14.384,39.414,97.852,65.801,0,0,0,108.74,0,0,0,0,0,0,0,0,0,106.833,0,0,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.275,1554.016,28.375,21.964,21.964,17.792,12.182,12.182,10.273,10.273,7.225,7.225,5.602,5.602,34.497,40.228,0,44.862,45.599,0,0,53.675,0,0,0,518.194,0.267,-4.46,38,488.322,141736305.7,26.599,9.131,3.511,218.59,12.001,0.507,12.001,0.169,0.005,0.169,-0.661,-0.507,6.382,145.306,518.562,6,8,0,0,0,4,0,4,8,6,8,0,5,0,0,0,198,30.639,11.499,35.57,0,0,0,9.589,0,0,0,39.828,47.583,33.026,11.127,4,40.228,34.117,0,0,0,53.378,0,45.513,0,45.624,0,0,34.497,0,43.211,0,13.847,82.501,12.133,0,32.672,0,155.52,0,0,0,0,0,0,0,0,0,102.667,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.152,653.943,19.104,15.053,15.053,12.515,8.454,8.454,6.306,6.306,4.62,4.62,3.064,3.064,0,20.426,0,36.549,24.341,11.127,14.22,36.398,0,0,9.474,362.173,0.4,-2.44,26,336.214,599492.182,19.879,9.311,4.803,152.812,9.836,0.504,9.836,0.16,0.062,0.16,-0.172,-0.504,2.117,97.877,362.422,4,6,0,0,0,2,0,2,6,4,6,0,9,0,0,0,142,29.9,0,22.998,0,0,0,0,0,0,0,12.133,60.07,13.214,14.22,2,29.9,0,0,0,11.836,12.842,27.433,47.525,0,22.998,9.474,0,22.998,0,47.859,12.842,11.836,11.127,36.398,0,0,0,99.38,0,0,0,0,0,0,0,0,0,65.667,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.713,958.361,20.121,16.521,16.521,14.139,9.532,9.532,7.461,7.461,6.077,6.077,4.785,4.785,0,4.795,0,30.516,29.605,28.861,0,21.329,24.265,0,28.421,398.137,0.409,-3.09,29,376.235,8122701.6,17.971,6.756,2.675,167.963,12.702,0.493,12.702,0.31,0.111,0.31,-0.273,-0.493,2.918,102.149,398.411,0,7,1,2,3,2,0,2,7,0,7,0,4,0,1,1,152,28.421,0,22.998,12.542,0,5.969,4.795,0,0,0,0,47.377,11.836,33.854,5,33.216,5.969,0,0,11.836,12.339,34.729,40.956,0,28.748,23.684,0,28.748,0,40.699,15.952,11.836,22.608,24.265,0,0,0,72.45,0,0,0,0,0,0,0,0,0,65.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.272,1408.706,32.631,28.195,28.195,21.007,17.268,17.268,17.269,17.269,14.673,14.673,11.656,11.656,28.873,24.909,0,45.852,12.339,63.351,11.649,30.341,0,47.618,4.737,618.392,0.692,-2.6,45,564.423,5635863576,32.345,10.718,4.826,268.885,12.939,0.508,12.939,0.33,0.029,0.33,-0.64,-0.508,8.176,175.107,618.855,3,6,5,0,5,1,0,1,5,3,6,0,6,4,0,4,246,20.056,5.75,0,0,0,11.939,4.795,4.795,0,0,65.324,127.394,11.491,18.126,6,29.646,18.015,0,0,50.244,111.855,6.607,47.554,0,5.75,0,0,5.75,0,39.969,14.326,50.244,111.314,41.991,0,6.076,0,104.06,0,0,0,0,0,0,0,0,0,99.167,1,1,1,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.834,1896.024,53.084,42.356,42.356,35.085,26.92,26.92,24.164,24.164,20.045,20.045,15.974,15.974,172.661,71.491,0,48.032,30.781,32.104,0,0,0,27.695,47.369,1066.52,1,-0.96,74,984.526,1.51E+16,56.319,21.499,9.45,428.818,12.136,0.394,12.136,0.187,0.005,0.187,-2.036,-0.394,-4.329,245.031,1067.182,14,24,4,6,10,0,0,0,24,14,24,0,11,4,6,10,426,118.86,91.559,30.947,0,0,0,0,0,0,0,27.695,91.283,12.339,57.45,10,118.86,0,0,0,52.255,225.984,33.034,0,0,0,0,0,0,0,251.448,47.369,52.255,79.062,0,0,0,0,375.52,0,0,0,0,0,0,0,0,0,190.25,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.749,1100.153,23.275,18.707,18.707,15.96,10.536,10.536,8.12,8.12,6.458,6.458,5.123,5.123,23.909,9.589,0,25.287,28.748,16.69,28.253,0,24.265,0,33.158,456.142,0.417,-3.62,33,432.255,45923154.85,21.238,8.059,3.298,189.968,12.993,0.493,12.993,0.31,0.097,0.31,-0.651,-0.493,2.98,112.952,456.447,0,9,1,2,3,2,0,2,9,0,9,0,6,0,1,1,174,33.158,6.104,22.998,12.542,0,11.939,9.589,0,0,0,0,35.392,24.323,33.854,5,42.747,11.939,0,0,11.836,18.946,34.729,40.956,0,28.748,23.684,0,28.748,0,46.668,19.063,11.836,35.636,24.265,0,0,0,98.75,0,0,0,0,0,0,0,0,0,79.5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.952,705.734,15.69,12.329,12.329,10.618,6.869,6.869,5.027,5.027,3.697,3.697,2.537,2.537,6.104,9.901,0,23.517,11.499,11.313,13.176,13.176,24.265,0,14.211,300.1,0.235,-2.69,22,284.182,119221.481,14.256,5.596,2.455,127.604,12.307,0.507,12.307,0.174,0.118,0.174,-0.391,-0.507,3.116,79.969,300.31,1,5,0,1,1,2,0,2,5,1,5,0,3,0,0,0,114,19.317,34.665,5.783,0,0,0,4.795,0,0,0,12.133,17.696,12.133,20.64,3,24.112,5.783,0,0,0,12.525,14.22,47.525,0,22.998,14.211,0,22.998,0,25.109,0,0,28.446,36.398,0,0,0,64.99,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.176,833.24,32.443,28.459,28.459,21.761,18.712,18.712,14.215,14.215,10.114,10.114,7.286,7.286,24.416,25.221,0,36.489,37.677,57.787,57.787,6.076,6.924,6.924,14.211,638.476,0.919,-1.03,45,572.399,8551272854,38.418,21.766,14.732,272.849,11.687,0.455,11.687,0.334,0.008,0.334,-0.599,-0.455,6.829,176.851,638.927,4,8,0,3,3,0,0,0,8,4,8,0,25,0,2,2,262,34.637,6.104,0,0,0,5.969,0,4.795,0,0,90.394,70.787,11.994,48.832,3,39.431,5.969,0,0,0,216.462,0,11.649,0,0,0,0,0,0,81.331,19.005,0,161.526,11.649,0,0,0,125.68,0,0,0,0,0,0,0,0,0,97.333,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
