SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,class
CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,2.228,593.511,12.914000000000001,10.448,10.448,8.495,6.101,6.101,5.372999999999999,5.372999999999999,3.5260000000000002,3.5260000000000002,2.501,2.501,11.565999999999999,9.589,0.0,5.601,23.316999999999997,11.984000000000002,0.0,12.133,25.98,0.0,4.737,242.09400000000002,0.33299999999999996,-1.9,18,228.162,13978.473,11.205,3.545,1.505,105.45100000000001,12.046,0.48700000000000004,12.046,0.23399999999999999,0.285,0.23399999999999999,-0.41,-0.48700000000000004,2.752,67.098,242.274,0,3,1,1,2,1,0,1,3,0,3,0,0,0,0,0,92,4.737,11.36,0.0,11.565999999999999,0.0,0.0,9.589,0.0,0.0,0.0,24.265,26.689,16.7,0.0,3,14.325999999999999,17.326,0.0,0.0,0.0,32.29,0.0,40.965,0,0.0,0.0,0.0,0.0,0.0,17.168,9.531,0.0,42.611000000000004,29.839000000000002,0.0,5.7589999999999995,0,43.37,0,0.0,0,0,0,0,0,0,0.0,43.75,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC(O)C2(C)O,2.052,871.7769999999999,16.516,12.843,12.843,10.835999999999999,7.58,7.58,6.497000000000001,6.497000000000001,5.055,5.055,3.7239999999999998,3.7239999999999998,23.272,19.802,0.0,0.0,51.983000000000004,0.0,13.187000000000001,19.055999999999997,0.0,0.0,4.417,312.1,0.33299999999999996,-2.24,23,296.193,215438.801,14.357999999999999,4.399,1.6880000000000002,132.102,12.659,0.46299999999999997,12.659,0.237,0.307,0.237,-1.439,-0.46299999999999997,2.149,81.441,312.32099999999997,2,5,2,0,2,1,1,2,5,2,5,0,0,0,0,0,118,14.63,11.360999999999999,0.0,11.565999999999999,0.0,0.0,9.589,0.0,0.0,0.0,12.133,43.379,11.127,17.930999999999997,4,24.219,11.565999999999999,0.0,0.0,0.0,38.394,0.0,46.213,0,11.324000000000002,0.0,0.0,0.0,0.0,27.884,12.022,6.9239999999999995,50.751000000000005,22.813000000000002,0.0,11.324000000000002,0,87.74,0,0.0,0,0,0,0,0,0,5.511,54.571999999999996,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC1(C)COC2=C(C1)C(=O)C(=O)c1ccccc12,2.2159999999999997,593.511,12.914000000000001,10.448,10.448,8.495,6.039,6.039,5.641,5.641,3.4330000000000003,3.4330000000000003,2.5269999999999997,2.5269999999999997,11.565999999999999,9.589,0.0,5.415,29.923000000000002,5.563,0.0,12.133,25.98,0.0,4.737,242.09400000000002,0.33299999999999996,-1.9,18,228.162,13990.499,11.205,3.545,1.505,105.45100000000001,12.123,0.49200000000000005,12.123,0.23399999999999999,0.096,0.23399999999999999,-0.41100000000000003,-0.49200000000000005,2.61,67.05,242.274,0,3,1,1,2,1,0,1,3,0,3,0,0,0,0,0,92,4.737,5.7589999999999995,0.0,11.565999999999999,0.0,0.0,9.589,0.0,0.0,0.0,38.113,6.421,22.115,6.607,3,14.325999999999999,17.326,0.0,0.0,5.415,20.268,6.607,40.965,0,0.0,0.0,0.0,0.0,0.0,18.173,9.531,5.415,36.19,29.839000000000002,0.0,5.7589999999999995,0,43.37,0,0.0,0,0,0,0,0,0,0.0,43.75,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cc1c2cc[nH]cc2c(C)c2c1nc1ccccc21,2.394,932.1139999999999,12.982999999999999,10.989,10.989,9.271,6.513,6.513,5.074,5.074,4.045,4.045,3.0669999999999997,3.0669999999999997,0.0,0.0,0.0,0.0,0.0,11.033,32.672,0.0,12.263,49.294,4.984,246.11599999999999,0.11800000000000001,-2.35,19,232.201,51184.511,10.561,3.575,1.284,110.635,4.815,0.36700000000000005,4.815,0.075,1.0859999999999999,0.075,1.0859999999999999,-0.36700000000000005,4.486000000000001,80.58,246.313,1,2,0,0,0,2,2,4,1,1,2,0,0,0,0,0,92,4.984,0.0,0.0,0.0,0.0,0.0,0.0,4.984,0.0,0.0,18.199,42.493,28.552,11.033,4,0.0,32.578,0.0,9.968,0.0,13.847000000000001,0.0,53.852,0,0.0,0.0,0.0,0.0,0.0,9.968,0.0,13.847000000000001,11.127,42.726000000000006,0.0,32.578,0,28.68,0,0.0,0,0,0,0,0,0,0.0,36.833,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(O)CO,2.045,860.5369999999999,16.352999999999998,12.68,12.68,10.975999999999999,7.648,7.648,6.3389999999999995,6.3389999999999995,4.973,4.973,3.8,3.8,23.774,19.802,0.0,0.0,58.403,0.0,6.263,19.055999999999997,0.0,0.0,4.417,312.1,0.33299999999999996,-2.24,23,296.193,255163.212,14.357999999999999,4.629,1.745,132.102,12.665,0.46299999999999997,12.665,0.237,0.32,0.237,-1.3559999999999999,-0.46299999999999997,2.15,81.46300000000001,312.32099999999997,2,5,2,0,2,1,1,2,5,2,5,0,1,0,0,0,118,14.63,11.360999999999999,0.0,11.565999999999999,0.0,0.0,9.589,0.0,0.0,0.0,12.133,42.876999999999995,11.127,18.433,4,24.219,11.565999999999999,0.0,0.0,0.0,31.787,6.607,46.213,0,11.324000000000002,0.0,0.0,0.0,0.0,28.386,12.022,6.9239999999999995,50.248000000000005,22.813000000000002,0.0,11.324000000000002,0,87.74,0,0.0,0,0,0,0,0,0,5.516,54.233999999999995,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COC1=C(C)C2=C(C(=O)C1(C)C)C(C(C)C)c1c(c(C)c(O)c3c1OC(c1ccccc1)CC3=O)O2,1.7890000000000001,1359.7979999999998,26.101999999999997,21.814,21.814,17.0,12.369000000000002,12.369000000000002,10.744000000000002,10.744000000000002,7.733,7.733,5.997000000000001,5.997000000000001,11.519,14.696,0.0,41.136,39.717,11.137,0.0,14.034,64.95100000000001,0.0,14.210999999999999,488.22,0.4,-3.54,36,456.324,96051758.77,24.168000000000003,8.256,3.2310000000000003,211.11900000000003,13.982000000000001,0.507,13.982000000000001,0.17600000000000002,0.016,0.17600000000000002,-0.8740000000000001,-0.507,6.3229999999999995,135.332,488.58,1,6,1,2,3,2,0,2,6,1,6,0,3,0,0,0,188,19.317,40.434,11.565999999999999,0.0,0.0,0.0,9.589,0.0,0.0,0.0,44.178999999999995,39.176,28.191,18.945999999999998,5,28.906,11.565999999999999,0.0,0.0,11.333,59.985,7.11,75.25,0,17.249000000000002,9.474,0.0,17.249000000000002,0.0,23.783,9.531,18.257,80.11,52.996,0.0,0.0,0,82.06,0,0.0,0,0,0,0,0,0,0.0,82.917,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C=CC(C)=CCC1(C)C(C)CCC23C(=CC(OC(=O)c4ccc(O)cc4)CC12)C(OC(C)=O)OC3OC(C)=O,1.8130000000000002,1197.4460000000001,28.535,23.269000000000002,23.269000000000002,18.4,13.417,13.417,11.262,11.262,8.921,8.921,6.614,6.614,42.007,19.49,0.0,17.082,29.896,18.415,38.113,0.0,19.076,26.502,18.947,538.257,0.516,-3.39,39,500.333,306429673.1,28.614,11.003,5.393,229.202,13.084000000000001,0.508,13.084000000000001,0.33799999999999997,0.051,0.33799999999999997,-1.062,-0.508,5.617999999999999,143.202,538.637,1,8,2,1,3,1,0,1,8,1,8,0,10,1,1,2,210,19.317,11.853,0.0,12.58,0.0,17.908,14.325999999999999,4.795,0.0,0.0,38.152,80.199,19.421,10.978,4,38.438,17.908,0.0,0.0,22.666,78.986,0.0,65.782,0,5.75,0.0,0.0,5.75,0.0,41.698,28.537,22.666,70.66,60.218999999999994,0.0,0.0,0,108.36,0,0.0,0,0,0,0,0,0,0.0,94.833,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C=CC(C)=CCC1(C)C(C)CCC23C(=CC(OC(=O)c4ccc(O)c(OC)c4)CC12)C(OC(C)=O)OC3OC(C)=O,1.8119999999999998,1279.711,30.112,24.6,24.6,19.348,13.946,13.946,11.602,11.602,9.232999999999999,9.232999999999999,6.821000000000001,6.821000000000001,42.007,19.49,0.0,34.313,24.836,11.994000000000002,39.156,6.0760000000000005,13.0,26.502,23.684,568.2669999999999,0.531,-3.59,41,528.3430000000001,763231796.3,30.37,11.720999999999998,5.642,240.68,13.296,0.504,13.296,0.33799999999999997,0.09,0.33799999999999997,-1.085,-0.504,5.626,149.754,568.663,1,9,2,1,3,1,0,1,9,1,9,0,11,1,1,2,222,24.054000000000002,6.104,11.499,12.58,0.0,17.908,14.325999999999999,4.795,0.0,0.0,38.152,74.133,19.421,18.088,4,43.174,17.908,0.0,0.0,22.666,78.986,7.11,59.716,0,11.499,4.737,0.0,11.499,0.0,48.808,28.537,22.666,70.66,54.152,0.0,0.0,0,117.59,0,0.0,0,0,0,0,0,0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C=CC(C)=CCC1(C)C(C)CC(OC(=O)c2ccc(O)cc2)C23C(=CC(O)CC12)C(OC(C)=O)OC3OC(C)=O,1.902,1231.698,29.405,23.586,23.586,18.82,13.517999999999999,13.517999999999999,11.369000000000002,11.369000000000002,8.923,8.923,6.71,6.71,59.443999999999996,24.596999999999998,0.0,23.651999999999997,18.415,5.5729999999999995,38.113,12.152000000000001,6.9239999999999995,26.502,18.947,554.252,0.516,-3.43,40,516.332,448216444.0,29.55,11.214,5.1979999999999995,233.99599999999998,13.431,0.508,13.431,0.33799999999999997,0.006999999999999999,0.33799999999999997,-1.2429999999999999,-0.508,4.588,144.592,554.636,2,9,2,1,3,1,0,1,9,2,9,0,10,1,1,2,216,24.424,17.268,0.0,12.58,0.0,17.908,14.325999999999999,4.795,0.0,0.0,38.152,73.778,19.421,11.667,4,43.544,17.908,0.0,0.0,22.666,78.669,0.0,65.782,0,5.75,0.0,0.0,5.75,0.0,52.909,28.537,22.666,64.23899999999999,60.218999999999994,0.0,0.0,0,128.59,0,0.0,0,0,0,0,0,0,0.0,100.667,0,1,1,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C=CC(C)=CCC1(C)C(C)CC(O)C23C(=CC(OC(=O)c4ccc(O)cc4)CC12)C(OC(C)=O)OC3OC(C)=O,1.8559999999999999,1231.698,29.405,23.586,23.586,18.82,13.517999999999999,13.517999999999999,11.368,11.368,8.943999999999999,8.943999999999999,6.672000000000001,6.672000000000001,59.443999999999996,24.596999999999998,0.0,17.230999999999998,24.836,5.5729999999999995,38.113,12.152000000000001,6.9239999999999995,26.502,18.947,554.252,0.516,-3.43,40,516.332,453816516.3,29.55,11.214,5.1979999999999995,233.99599999999998,13.099,0.508,13.099,0.33799999999999997,0.019,0.33799999999999997,-1.239,-0.508,4.588,144.592,554.636,2,9,2,1,3,1,0,1,9,2,9,0,10,1,1,2,216,24.424,11.853,0.0,12.58,0.0,17.908,14.325999999999999,4.795,0.0,0.0,38.152,73.778,19.421,17.082,4,43.544,17.908,0.0,0.0,22.666,78.669,0.0,65.782,0,5.75,0.0,0.0,5.75,0.0,52.909,28.537,22.666,64.23899999999999,60.218999999999994,0.0,0.0,0,128.59,0,0.0,0,0,0,0,0,0,0.0,100.667,0,1,1,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
